OBJECTID,Name,Location,District,Neighbourhood,Container_Type,Bin_Type,Longitude,Latitude
1,"Reciklažno dvorište Špansko","Ulica Dobriše Cesarića 2a","Stenjevec","Špansko - sjever","","Reciklažna dvorišta",15.906057000386905,45.803045999067756
2,"Reciklažno dvorište Trešnjevka sjever","Zagorska ulica 3","Trešnjevka - sjever","Ciglenica","","Reciklažna dvorišta",15.947008999595694,45.80792999943082
3,"Reciklažno dvorište Kajzerica","Žarka Dolinara 5","Novi Zagreb - zapad","Kajzerica","","Reciklažna dvorišta",15.964424437245675,45.780373804755904
4,"Reciklažno dvorište Jakuševec","Sajmišna cesta bb","Novi Zagreb - istok","Jakuševec","","Reciklažna dvorišta",16.023980999532544,45.76857299965276
5,"Reciklažno dvorište Dubrava","Osječka ulica 25","Donja Dubrava","\"30. svibnja 1990.\"","","Reciklažna dvorišta",16.05456299962836,45.82629499886784
6,"Reciklažno dvorište Prilesje","Prilesje 1c","Maksimir","Maksimir","","Reciklažna dvorišta",16.013721311053345,45.82453898113947
7,"Reciklažno dvorište Sesvete","Jelkovečka ulica bb","Sesvete","Sesvetska Sopnica","","Reciklažna dvorišta",16.114782000537655,45.82030199879923
8,"Mobilno reciklažno dvorište Brezovica (Prigradska)","Prigradska ulica III. odvojak","Brezovica","Brezovica","","Reciklažna dvorišta",15.919783133585211,45.7278115631678
9,"Mobilno reciklažno dvorište Trnje","Ulica Frana Folnegovića, preko puta kućnog broja 10","Trnje","Sigečica","","Reciklažna dvorišta",16.00777604099694,45.797870957723234
10,"Mobilno reciklažno dvorište Gornji grad - Medveščak","raskrižje ulica Horvatovac i Ružičnjak","Gornji Grad - Medveščak","Šalata","","Reciklažna dvorišta",15.987623300056704,45.826526499683006
11,"Mobilno reciklažno dvorište Podsused - Vrapče","Ulica Prigornica 2","Podsused - Vrapče","Podsused","","Reciklažna dvorišta",15.855472576922583,45.81713675135538
12,"Reciklažno dvorište Klara","Sisačka cesta 10","Novi Zagreb - zapad","Sveta Klara","","Reciklažna dvorišta",15.956048400595314,45.75386279903452
13,"Reciklažno dvorište Podsused - Vrapče (Vučak)","Kovinska 8a","Podsused - Vrapče","Podsused","","Reciklažna dvorišta",15.853807921004869,45.810137802951985
14,"Mobilno reciklažno dvorište Trešnjevka - jug","Ulica Marice Barić 6","Trešnjevka - jug","Jarun","","Reciklažna dvorišta",15.92787832590129,45.79387134361329
15,"Mobilno reciklažno dvorište Gornja Dubrava","Ulica Klin","Gornja Dubrava","Studentski grad","","Reciklažna dvorišta",16.06640209954406,45.83499539920746
16,"Reciklažno dvorište Žitnjak","Čulinečka cesta 275","Peščenica - Žitnjak","Resnik","","Reciklažna dvorišta",16.079832388140893,45.79513549496116
17,"Reciklažno dvorište Sesvete Jelkovec","Ulica Borisa Ulricha 5","Sesvete","Novi Jelkovec","","Reciklažna dvorišta",16.115031578291358,45.810289392300916
18,"Mobilno reciklažno dvorište Podsljeme (Zdenac)","Prilaz Kraljičinom zdencu kod kućnog broja 4","Podsljeme","Šestine","","Reciklažna dvorišta",15.94974200035511,45.85517679893794
19,"Mobilno reciklažno dvorište Brezovica (Donjodragonoška)","Donjodragonoška cesta, iza kućnog broja 8C","Brezovica","Dragonožec","","Reciklažna dvorišta",15.944498765261644,45.66894991274786
20,"Mobilno reciklažno dvorište Podsljeme (Bidrovečka)","Bidrovečka cesta kod kućnog broja 68","Podsljeme","Markuševec","","Reciklažna dvorišta",16.030233199902607,45.89488439944429
21,"Abramovićeva ulica 1, 10010, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7626715<br>Zemljopisna dužina: 15.9931816","Novi Zagreb - istok","Dugave","Zvono","Staklo",15.99318160038909,45.76267149886032
23,"Albinijeva ulica 12, 10010, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7660994<br>Zemljopisna dužina: 16.0061421","Novi Zagreb - istok","Dugave","Zvono","Staklo",16.006050904928333,45.765910419819804
24,"ALEJA ANTUNA AUGUSTINČIĆA 14, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8190493<br>Zemljopisna dužina: 16.0269714","Maksimir","Maksimirska naselja","Zvono","Staklo",16.027117579792428,45.81907173046195
29,"Ulica Filipa Antolića Sobana 20, 10040, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8514133<br>Zemljopisna dužina: 16.0550083","Gornja Dubrava","Granešina","Zvono","Staklo",16.05511022414598,45.85136472581574
30,"ALEJA MATIJE LJUBEKA 19, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.777756<br>Zemljopisna dužina: 15.9375519","Trešnjevka - jug","Jarun","Zvono","Staklo",15.937734289811926,45.77835087551484
31,"ALEJA POMORACA 23, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7731481<br>Zemljopisna dužina: 15.9734244","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.973424400198567,45.77314809945991
32,"ALEJA POMORACA 5, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7732256<br>Zemljopisna dužina: 15.9777372","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.977868628017923,45.77319005296969
33,"ALEJA POMORACA 9, 10020 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7731769<br>Zemljopisna dužina: 15.9768681","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.976868100266813,45.773176899270794
34,"ALEJA POMORACA 94, 10240 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7735835<br>Zemljopisna dužina: 15.9718078","Novi Zagreb - zapad","Siget","Zvono","Staklo",15.971384010832413,45.77357601565871
35,"ALEJA SELJAČKE BUNE 40, PODSUSED, 10090 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8213602<br>Zemljopisna dužina: 15.8326802","","Podsused","Zvono","Staklo",15.832680200403475,45.82136019961255
36,"ALEJA TIŠINE 9 , 10040 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8410425<br>Zemljopisna dužina: 16.0450525","Gornja Dubrava","Gornja Dubrava","Zvono","Staklo",16.045009584914954,45.841248041338424
38,"AUGUSTA ŠENOE 52, VUGROVEC DONJI, SESVETE","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8811114<br>Zemljopisna dužina: 16.109314","Sesvete","Vugrovec","Zvono","Staklo",16.109126245023397,45.88079210353224
40,"Ulica Ivana Šibla 9, 10020, Zagreb, Grad Zagreb, HRV","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7779<br>Zemljopisna dužina: 15.9886767","Novi Zagreb - istok","Središće","Zvono","Staklo",15.987807664035083,45.7781506704044
41,"AVENIJA MARINA DRŽIĆA 19, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8015795<br>Zemljopisna dužina: 15.9950192","Trnje","Kanal","Zvono","Staklo",15.995383980298618,45.80182632447414
44,"BARTOLIĆI 45, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7844302<br>Zemljopisna dužina: 15.9244896","Trešnjevka - jug","Jarun","Zvono","Staklo",15.92385793995229,45.784211354023796
45,"BARTOLIĆI, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.7847669<br>Zemljopisna dužina: 15.9256268","Trešnjevka - jug","Jarun","","Staklo",15.925626799652436,45.78476689909565
47,"BELOVAR Varaždinska 37, 10363 BELOVAR","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.882262<br>Zemljopisna dužina: 16.1755403","","Belovar","Zvono","Staklo",16.17554030050114,45.882261998983466
48,"BIDROVEČKA CESTA 30, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8924333<br>Zemljopisna dužina: 16.02852","Podsljeme","Markuševec","Zvono","Staklo",16.028573644255683,45.89241836498054
49,"BIJENIČKA CESTA 30, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8267053<br>Zemljopisna dužina: 15.9851342","Gornji Grad - Medveščak","Šalata","Zvono","Staklo",15.985139564973556,45.8264174656286
50,"BIJENIK 179a, 10000 ZAGREB","Vrsta spremnika: STAKLO<br>Zemljopisna širina: 45.8451115<br>Zemljopisna dužina: 15.9379358","Črnomerec","Medvedgrad","Zvono","Staklo",15.938600988202445,45.84715552176573
